Post{title='PC-версию God of War: Ragnarok объявят очень скоро. В этом уверены инсайдеры', detailsLink='https://4pda.to/2024/05/29/428320/pc_versiyu_god_of_war_ragnarok_obyavyat_ochen_skoro_v_etom_uvereny_insajdery/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='12:15'}
Post{title='Микромотор Swytch GO превращает обычный велосипед в электрический', detailsLink='https://4pda.to/2024/05/26/428075/mikromotor_swytch_go_prevraschaet_obychnyj_velosiped_v_elektricheskij/', author='Алексей Изумрудных', authorDetailsLink='/forum/index.php?showuser=11614590', dateOfCreated='26.05.24'}
Post{title='Глобальная версия HUAWEI WATCH 4 Pro получила обновление. Что нового?', detailsLink='https://4pda.to/2024/05/28/428263/globalnaya_versiya_huawei_watch_4_pro_poluchila_obnovlenie_chto_novogo/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='В России появился BeijinTech — новый поставщик сотового оборудования 5G и 4G', detailsLink='https://4pda.to/2024/05/28/428297/v_rossii_poyavilsya_beijintech_novyj_postavschik_sotovogo_oborudovaniya_5g_i_4g/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='Ubisoft анонсировала подписку на Rainbow Six Siege. Фанаты в ярости', detailsLink='https://4pda.to/2024/05/28/428272/ubisoft_anonsirovala_podpisku_na_rainbow_six_siege_fanaty_v_yarosti/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Представлен HOTWAV Cyber 15 — защищённый смартфон с двумя экранами и 200-Мп камерой', detailsLink='https://4pda.to/2024/05/28/428229/predstavlen_hotwav_cyber_15_zaschischyonnyj_smartfon_s_dvumya_ekranami_i_200_mp_kameroj/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='«Яндекс» выпустил облегчённую нейросеть YandexGPT 3 Lite', detailsLink='https://4pda.to/2024/05/28/428279/yandeks_vypustil_oblegchyonnuyu_nejroset_yandexgpt_3_lite/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='Тестовую версию новой игры Valve выложили на торренты', detailsLink='https://4pda.to/2024/05/28/428273/testovuyu_versiyu_novoj_igry_valve_vylozhili_na_torrenty/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Уязвимость в iOS позволяет делать иконки приложений анимированными', detailsLink='https://4pda.to/2024/05/28/428260/uyazvimost_v_ios_pozvolyaet_delat_ikonki_prilozhenij_animirovannymi/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='Обзор OKAMI R130: продвинутый помощник в домашней уборке', detailsLink='https://4pda.to/2024/05/28/428010/obzor_okami_r130_prodvinutyj_pomoschnik_v_domashnej_uborke/', author='Автора нет', authorDetailsLink='Ссылки нет', dateOfCreated='Даты создания нет'}
Post{title='Опубликован релизный трейлер The Rogue Prince of Persia [ВИДЕО]', detailsLink='https://4pda.to/2024/05/28/428267/opublikovan_reliznyj_trejler_the_rogue_prince_of_persia_video/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Представлен realme Narzo N65: камера на 50 Мп, экран 120 Гц и доступная цена', detailsLink='https://4pda.to/2024/05/28/428256/predstavlen_realme_narzo_n65_kamera_na_50_mp_ekran_120_gts_i_dostupnaya_tsena/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Глобальная версия Xiaomi Civi 4 Pro получила дату анонса', detailsLink='https://4pda.to/2024/05/28/428261/globalnaya_versiya_xiaomi_civi_4_pro_poluchila_datu_anonsa/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Windows 11 научится распознавать текст с фото на смартфоне по «удалёнке»', detailsLink='https://4pda.to/2024/05/28/428258/windows_11_nauchitsya_raspoznavat_tekst_s_foto_na_smartfone_po_udalyonke/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Выход на связь. Konami анонсировала новую трансляцию с новостями по Silent Hill', detailsLink='https://4pda.to/2024/05/28/428265/vykhod_na_svyaz_konami_anonsirovala_novuyu_translyatsiyu_s_novostyami_po_silent_hill/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Apple хочет «заставить» пользователей держать iPad по-новому', detailsLink='https://4pda.to/2024/05/28/428259/apple_khochet_zastavit_polzovatelej_derzhat_ipad_po_novomu/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='HUAWEI Enjoy 70S получил дизайн под флагман, ёмкую АКБ и процессор Snapdragon', detailsLink='https://4pda.to/2024/05/28/428257/huawei_enjoy_70s_poluchil_dizajn_pod_flagman_yomkuyu_akb_i_protsessor_snapdragon/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Новая игра авторов Genshin Impact и Honkai Star Rail обрела дату релиза', detailsLink='https://4pda.to/2024/05/28/428264/novaya_igra_avtorov_genshin_impact_i_honkai_star_rail_obrela_datu_reliza/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Дисплей Honor 200 Pro ворвался в топ рейтинга DxOMark', detailsLink='https://4pda.to/2024/05/28/428254/displej_honor_200_pro_vorvalsya_v_top_rejtinga_dxomark/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Tuxedo выпустила мощный Linux-ноутбук Stellaris Slim 15 Gen 6 за $1841', detailsLink='https://4pda.to/2024/05/28/428255/tuxedo_vypustila_moschnyj_linux_noutbuk_stellaris_slim_15_gen_6_za_1841/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Aigo анонсировала корпусный вентилятор и СЖО с LED-дисплеями', detailsLink='https://4pda.to/2024/05/28/428252/aigo_anonsirovala_korpusnyj_ventilyator_i_szho_s_led_displeyami/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Наушники Honor Earbuds X7 с автономностью 40 ч оценили в $41', detailsLink='https://4pda.to/2024/05/28/428253/naushniki_honor_earbuds_x7_s_avtonomnostyu_40_ch_otsenili_v_41/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Опубликован час геймплея экшена Black Myth: Wukong [ВИДЕО]', detailsLink='https://4pda.to/2024/05/28/428239/opublikovan_chas_gejmpleya_ekshena_black_myth_wukong_video/', author='Оксана Рубко', authorDetailsLink='/forum/index.php?showuser=11029883', dateOfCreated='28.05.24'}
Post{title='Хороший дисплей в недорогом смартфоне — иллюзия или реальность? Изучаем экран Infinix NOTE 40 Pro', detailsLink='https://4pda.to/2024/05/23/428022/khoroshij_displej_v_nedorogom_smartfone_illyuziya_ili_realnost_izuchaem_ekran_infinix_note_40_pro/', author='Автора нет', authorDetailsLink='Ссылки нет', dateOfCreated='Даты создания нет'}
Post{title='У YouTube появился новый метод борьбы с блокировщиками рекламы', detailsLink='https://4pda.to/2024/05/28/428251/u_youtube_poyavilsya_novyj_metod_borby_s_blokirovschikami_reklamy/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Новый Honor MagicBook Pro 16 получил видеокарту RTX 40 и HDR-дисплей', detailsLink='https://4pda.to/2024/05/28/428250/novyj_honor_magicbook_pro_16_poluchil_videokartu_rtx_40_i_hdr_displej/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='MSI выпустила быстрый игровой монитор QD-OLED с защитой от выгорания', detailsLink='https://4pda.to/2024/05/28/428249/msi_vypustila_bystryj_igrovoj_monitor_qd_oled_s_zaschitoj_ot_vygoraniya/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Представлен Honor 200 Pro: мощное железо, ИИ-камера и дисплей без мерцания', detailsLink='https://4pda.to/2024/05/28/428248/predstavlen_honor_200_pro_moschnoe_zhelezo_ii_kamera_i_displej_bez_mertsaniya/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Клифф Блезински считает Overwatch виновницей провала LawBreakers', detailsLink='https://4pda.to/2024/05/28/428238/kliff_blezinski_schitaet_overwatch_vinovnitsej_provala_lawbreakers/', author='Оксана Рубко', authorDetailsLink='/forum/index.php?showuser=11029883', dateOfCreated='28.05.24'}
Post{title='Google Play выделит «честные» приложения с функцией удаления аккаунта', detailsLink='https://4pda.to/2024/05/28/428226/google_play_vydelit_chestnye_prilozheniya_s_funktsiej_udaleniya_akkaunta/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
